1|1|738001|775947|82729|19960102|5-LOW|0|17|3438947|20301051|4|3301389|121374|2|19960212|TRUCK|
1|2|738001|336546|16292|19960102|5-LOW|0|36|5697108|20301051|9|5184368|94951|6|19960228|MAIL|
1|3|738001|318499|7086|19960102|5-LOW|0|8|1213984|20301051|10|1092585|91048|2|19960305|REG AIR|
1|4|738001|10658|94209|19960102|5-LOW|0|28|4392220|20301051|9|3996920|94119|6|19960330|AIR|
1|5|738001|120134|162453|19960102|5-LOW|0|24|2769912|20301051|10|2492920|69247|4|19960314|FOB|
1|6|738001|78173|136719|19960102|5-LOW|0|32|3683744|20301051|7|3425881|69070|2|19960207|MAIL|
2|1|1560034|530849|106567|19961201|1-URGENT|0|38|7143316|7500481|0|7143316|112789|5|19970114|RAIL|
3|1|2466280|21485|195845|19931014|5-LOW|0|45|6329160|22857052|6|5949410|84388|0|19940104|AIR|
3|2|2466280|95178|166654|19931014|5-LOW|0|49|5748533|22857052|10|5173679|70390|0|19931220|RAIL|
3|3|2466280|642242|140899|19931014|5-LOW|0|27|3197367|22857052|6|3005524|71052|7|19931122|SHIP|
3|4|2466280|146899|74170|19931014|5-LOW|0|2|389178|22857052|1|385286|116753|6|19940107|TRUCK|
3|5|2466280|915471|160670|19931014|5-LOW|0|28|4162004|22857052|4|3995523|89185|0|19940110|FOB|
3|6|2466280|310713|176537|19931014|5-LOW|0|26|4481620|22857052|10|4033458|103422|2|19931218|RAIL|
4|1|2735521|440174|181193|19951011|5-LOW|0|30|3342450|3501550|3|3242176|66849|8|19951214|REG AIR|
5|1|889696|542847|4167|19940730|5-LOW|0|15|2834730|15184011|2|2778035|113389|4|19940831|AIR|
5|2|889696|619634|25899|19940730|5-LOW|0|26|4039360|15184011|7|3756604|93216|8|19940925|FOB|
5|3|889696|187651|83304|19940730|5-LOW|0|50|8693250|15184011|8|7997790|104319|3|19941013|AIR|
6|1|1112441|698178|57501|19920221|4-NOT SPECI|0|0|0|0|8|0|70568|3|19920515|TRUCK|
7|1|782686|910260|173469|19960110|2-HIGH|0|12|1524264|25059317|7|1417565|76213|3|19960313|FOB|
7|2|782686|726214|90709|19960110|2-HIGH|0|9|1116162|25059317|8|1026869|74410|8|19960302|SHIP|
7|3|782686|473899|130554|19960110|2-HIGH|0|46|8615202|25059317|10|7753681|112372|7|19960327|MAIL|
7|4|782686|815361|4724|19960110|2-HIGH|0|28|3573696|25059317|3|3466485|76579|4|19960408|FOB|
7|5|782686|759470|189950|19960110|2-HIGH|0|38|5811872|25059317|8|5346922|91766|1|19960224|TRUCK|
7|6|782686|396251|79450|19960110|2-HIGH|0|35|4715340|25059317|6|4432419|80834|3|19960223|FOB|
7|7|782686|786186|108083|19960110|2-HIGH|0|5|636075|25059317|4|610632|76329|2|19960326|FOB|
